event_id,event_idx,target_name,acquirer_name,announce_date,payment_type,deal_status,field_name,field_description,timing_bucket,side,candidate_form,filing_date,accession_number,document_name,doc_id,sec_url,local_path,field_score,form_bonus,keyword_hits,keyword_counts_json,evidence_snippet,upload_to_claude,reason
E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co,17,Celgene Corp,Bristol-Myers Squibb Co,2019-01-03,Cash and Stock,Completed,cash_cap,"Maximum aggregate cash amount, cash election number, or cash allocation cap used in proration.",pre_election_trade_entry,acquirer,425,2019-01-04,0001140361-19-000361,0001140361-19-000361.txt,E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co:acquirer:000114036119000361:0001140361-19-000361.txt,https://www.sec.gov/Archives/edgar/data/14272/000114036119000361/0001140361-19-000361.txt,smoke_celgene_prepare/documents/E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co/acquirer/2019-01-04_425_000114036119000361/0001140361-19-000361.txt,4,0,aggregate cash consideration,"{""aggregate cash consideration"": 1}","for the benefit of the holders of shares of company common stock, for exchange in accordance with this section 2.04 through the exchange agent, (x) certificates (or evidence of shares in book-entry form) representing the shares of parent common stock issuable pursuant to section 2.03(a) in exchange for outstanding shares of company common stock, (y) cash sufficient to pay the aggregate cash consideration payable pursuant to section 2.03(a) and (z) new cvr certificates representing the new cvrs issuable pursuant to section 2.03(a) and the new cvr agreement. parent agrees to make available, directly or indirectly, to the exchange agent from time to time as needed additional cash sufficient to pay any dividends or other distributions to which such holders are entitled pursuant to",True,Matched field keywords for cash_cap
E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co,17,Celgene Corp,Bristol-Myers Squibb Co,2019-01-03,Cash and Stock,Completed,cash_cap,"Maximum aggregate cash amount, cash election number, or cash allocation cap used in proration.",pre_election_trade_entry,acquirer,425,2019-01-04,0001140361-19-000361,s002621x1_ex2-1.htm,E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co:acquirer:000114036119000361:s002621x1_ex2-1.htm,https://www.sec.gov/Archives/edgar/data/14272/000114036119000361/s002621x1_ex2-1.htm,smoke_celgene_prepare/documents/E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co/acquirer/2019-01-04_425_000114036119000361/s002621x1_ex2-1.htm,4,0,aggregate cash consideration,"{""aggregate cash consideration"": 1}","for the benefit of the holders of shares of company common stock, for exchange in accordance with this section 2.04 through the exchange agent, (x) certificates (or evidence of shares in book-entry form) representing the shares of parent common stock issuable pursuant to section 2.03(a) in exchange for outstanding shares of company common stock, (y) cash sufficient to pay the aggregate cash consideration payable pursuant to section 2.03(a) and (z) new cvr certificates representing the new cvrs issuable pursuant to section 2.03(a) and the new cvr agreement. parent agrees to make available, directly or indirectly, to the exchange agent from time to time as needed additional cash sufficient to pay any dividends or other distributions to which such holders are entitled pursuant to",True,Matched field keywords for cash_cap
E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co,17,Celgene Corp,Bristol-Myers Squibb Co,2019-01-03,Cash and Stock,Completed,cash_cap,"Maximum aggregate cash amount, cash election number, or cash allocation cap used in proration.",pre_election_trade_entry,acquirer,8-K,2019-01-04,0001140361-19-000360,0001140361-19-000360.txt,E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co:acquirer:000114036119000360:0001140361-19-000360.txt,https://www.sec.gov/Archives/edgar/data/14272/000114036119000360/0001140361-19-000360.txt,smoke_celgene_prepare/documents/E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co/acquirer/2019-01-04_8-K_000114036119000360/0001140361-19-000360.txt,4,0,aggregate cash consideration,"{""aggregate cash consideration"": 1}","for the benefit of the holders of shares of company common stock, for exchange in accordance with this section 2.04 through the exchange agent, (x) certificates (or evidence of shares in book-entry form) representing the shares of parent common stock issuable pursuant to section 2.03(a) in exchange for outstanding shares of company common stock, (y) cash sufficient to pay the aggregate cash consideration payable pursuant to section 2.03(a) and (z) new cvr certificates representing the new cvrs issuable pursuant to section 2.03(a) and the new cvr agreement. parent agrees to make available, directly or indirectly, to the exchange agent from time to time as needed additional cash sufficient to pay any dividends or other distributions to which such holders are entitled pursuant to",True,Matched field keywords for cash_cap
E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co,17,Celgene Corp,Bristol-Myers Squibb Co,2019-01-03,Cash and Stock,Completed,cash_consideration_per_share,Cash amount payable per target share under the cash election or cash component of the merger consideration.,pre_election_trade_entry,acquirer,S-4,2019-02-01,0001140361-19-002181,s002620x1_s4.htm,E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co:acquirer:000114036119002181:s002620x1_s4.htm,https://www.sec.gov/Archives/edgar/data/14272/000114036119002181/s002620x1_s4.htm,smoke_celgene_prepare/documents/E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co/acquirer/2019-02-01_S-4_000114036119002181/s002620x1_s4.htm,136,12,cash consideration;per share in cash;cash component,"{""cash consideration"": 24, ""per share in cash"": 2, ""cash component"": 5}","act, and solely for the purpose of calculating the registration fee required by section 6(b) of the securities act, as the result of (a) the product of (i) $87.31 (the average of the high and low prices of the celgene common stock as reported on the nasdaq global select market on january 28, 2019) and (ii) the estimated number, less (b) $39,685,360,100 (the estimated amount of cash consideration that would be paid by bristol-myers squibb in connection with the merger which is the product of the estimated number and $50.00)). (3) determined on a combined basis with respect to both the shares of bristol-myers squibb common stock and the cvrs to be issued pursuant to the proposed merger described in this registration statement in accordance with section 6(b) of the secur ||| eipt of the letter. the celgene board also discussed bristol-myers squibb’s offer to increase the cash component of the consideration to $57 per share, with a corresponding reduction in the exchange ratio to maintain overall value. the celgene board, following discussion with members of celgene management, determined that it would prefer to keep the mix of consideration of $50 per share in cash and one share of bristol-myers squibb common stock, in light of its view that the stock ownership in the combined company would allow celgene stockholders to participate in the anticipated earnings and growth of a stronger combined company, as well as any synergies resulting from the merger. members of celgene management and the celgene board also discussed that, for purposes ||| lable. the table also shows the implied upfront value of the merger consideration for each share of celgene common stock (without considering any potential cvr payout) as of the same two dates. this implied value was calculated by multiplying the closing sale price of a share of bristol-myers squibb common stock on the relevant date by the exchange ratio and adding $50.00, the cash component of the merger consideration. shares of br",True,Matched field keywords for cash_consideration_per_share; preferred form/document bonus=12
E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co,17,Celgene Corp,Bristol-Myers Squibb Co,2019-01-03,Cash and Stock,Completed,cash_consideration_per_share,Cash amount payable per target share under the cash election or cash component of the merger consideration.,pre_election_trade_entry,acquirer,S-4,2019-02-01,0001140361-19-002181,0001140361-19-002181.txt,E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co:acquirer:000114036119002181:0001140361-19-002181.txt,https://www.sec.gov/Archives/edgar/data/14272/000114036119002181/0001140361-19-002181.txt,smoke_celgene_prepare/documents/E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co/acquirer/2019-02-01_S-4_000114036119002181/0001140361-19-002181.txt,136,12,cash consideration;per share in cash;cash component,"{""cash consideration"": 24, ""per share in cash"": 2, ""cash component"": 5}","act, and solely for the purpose of calculating the registration fee required by section 6(b) of the securities act, as the result of (a) the product of (i) $87.31 (the average of the high and low prices of the celgene common stock as reported on the nasdaq global select market on january 28, 2019) and (ii) the estimated number, less (b) $39,685,360,100 (the estimated amount of cash consideration that would be paid by bristol-myers squibb in connection with the merger which is the product of the estimated number and $50.00)). (3) determined on a combined basis with respect to both the shares of bristol-myers squibb common stock and the cvrs to be issued pursuant to the proposed merger described in this registration statement in accordance with section 6(b) of the secur ||| eipt of the letter. the celgene board also discussed bristol-myers squibb’s offer to increase the cash component of the consideration to $57 per share, with a corresponding reduction in the exchange ratio to maintain overall value. the celgene board, following discussion with members of celgene management, determined that it would prefer to keep the mix of consideration of $50 per share in cash and one share of bristol-myers squibb common stock, in light of its view that the stock ownership in the combined company would allow celgene stockholders to participate in the anticipated earnings and growth of a stronger combined company, as well as any synergies resulting from the merger. members of celgene management and the celgene board also discussed that, for purposes ||| lable. the table also shows the implied upfront value of the merger consideration for each share of celgene common stock (without considering any potential cvr payout) as of the same two dates. this implied value was calculated by multiplying the closing sale price of a share of bristol-myers squibb common stock on the relevant date by the exchange ratio and adding $50.00, the cash component of the merger consideration. shares of br",True,Matched field keywords for cash_consideration_per_share; preferred form/document bonus=12
E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co,17,Celgene Corp,Bristol-Myers Squibb Co,2019-01-03,Cash and Stock,Completed,cash_consideration_per_share,Cash amount payable per target share under the cash election or cash component of the merger consideration.,pre_election_trade_entry,acquirer,S-4/A,2019-02-01,0001140361-19-002275,s002620x2_s4a.htm,E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co:acquirer:000114036119002275:s002620x2_s4a.htm,https://www.sec.gov/Archives/edgar/data/14272/000114036119002275/s002620x2_s4a.htm,smoke_celgene_prepare/documents/E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co/acquirer/2019-02-01_S-4-A_000114036119002275/s002620x2_s4a.htm,132,12,cash consideration;per share in cash;cash component,"{""cash consideration"": 23, ""per share in cash"": 2, ""cash component"": 5}",". q: what will celgene stockholders receive in the merger? a: if the merger is completed, each share of celgene common stock, other than excluded stock and dissenting stock (each as defined below), will automatically be cancelled and converted into the right to receive $50.00 in cash without interest thereon, which is referred to in this joint proxy statement/prospectus as the cash consideration, one share of bristol-myers squibb common stock, which is referred to in this joint proxy statement/prospectus as the share consideration, and one cvr, which is referred to in this joint proxy statement/prospectus as the cvr consideration. the cash consideration, the share consideration and the cvr consideration are collectively referred to in this joint proxy statement/prospe ||| eipt of the letter. the celgene board also discussed bristol-myers squibb’s offer to increase the cash component of the consideration to $57 per share, with a corresponding reduction in the exchange ratio to maintain overall value. the celgene board, following discussion with members of celgene management, determined that it would prefer to keep the mix of consideration of $50 per share in cash and one share of bristol-myers squibb common stock, in light of its view that the stock ownership in the combined company would allow celgene stockholders to participate in the anticipated earnings and growth of a stronger combined company, as well as any synergies resulting from the merger. members of celgene management and the celgene board also discussed that, for purposes ||| lable. the table also shows the implied upfront value of the merger consideration for each share of celgene common stock (without considering any potential cvr payout) as of the same two dates. this implied value was calculated by multiplying the closing sale price of a share of bristol-myers squibb common stock on the relevant date by the exchange ratio and adding $50.00, the cash component of the merger consideration. shares of br",True,Matched field keywords for cash_consideration_per_share; preferred form/document bonus=12
E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co,17,Celgene Corp,Bristol-Myers Squibb Co,2019-01-03,Cash and Stock,Completed,consideration_menu,"Full menu of merger consideration choices available to target holders, such as cash election, stock election, mixed election, or default/non-election path.",pre_election_trade_entry,acquirer,S-4,2019-02-01,0001140361-19-002181,s002620x1_s4.htm,E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co:acquirer:000114036119002181:s002620x1_s4.htm,https://www.sec.gov/Archives/edgar/data/14272/000114036119002181/s002620x1_s4.htm,smoke_celgene_prepare/documents/E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co/acquirer/2019-02-01_S-4_000114036119002181/s002620x1_s4.htm,528,12,merger consideration,"{""merger consideration"": 129}","gene stockholders immediately prior to the completion of the merger will be entitled to receive $50.00 in cash, one share of bristol-myers squibb common stock and one contingent value right (each, a “cvr”) for each share of celgene common stock held by them, as described in more detail in the accompanying joint proxy statement/prospectus under the heading “the merger agreement—merger consideration.” based on the closing price of a share of bristol-myers squibb common stock on january 31, 2019, the most recent trading day prior to the date of the accompanying joint proxy statement/prospectus for which this information was available, the cash and stock components of the merger consideration represented approximately $99.37 in value per share of celgene common stock (witho",True,Matched field keywords for consideration_menu; preferred form/document bonus=12
E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co,17,Celgene Corp,Bristol-Myers Squibb Co,2019-01-03,Cash and Stock,Completed,consideration_menu,"Full menu of merger consideration choices available to target holders, such as cash election, stock election, mixed election, or default/non-election path.",pre_election_trade_entry,acquirer,S-4,2019-02-01,0001140361-19-002181,0001140361-19-002181.txt,E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co:acquirer:000114036119002181:0001140361-19-002181.txt,https://www.sec.gov/Archives/edgar/data/14272/000114036119002181/0001140361-19-002181.txt,smoke_celgene_prepare/documents/E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co/acquirer/2019-02-01_S-4_000114036119002181/0001140361-19-002181.txt,528,12,merger consideration,"{""merger consideration"": 129}","gene stockholders immediately prior to the completion of the merger will be entitled to receive $50.00 in cash, one share of bristol-myers squibb common stock and one contingent value right (each, a “cvr”) for each share of celgene common stock held by them, as described in more detail in the accompanying joint proxy statement/prospectus under the heading “the merger agreement—merger consideration.” based on the closing price of a share of bristol-myers squibb common stock on january 31, 2019, the most recent trading day prior to the date of the accompanying joint proxy statement/prospectus for which this information was available, the cash and stock components of the merger consideration represented approximately $99.37 in value per share of celgene common stock (witho",True,Matched field keywords for consideration_menu; preferred form/document bonus=12
E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co,17,Celgene Corp,Bristol-Myers Squibb Co,2019-01-03,Cash and Stock,Completed,consideration_menu,"Full menu of merger consideration choices available to target holders, such as cash election, stock election, mixed election, or default/non-election path.",pre_election_trade_entry,acquirer,S-4/A,2019-02-01,0001140361-19-002275,s002620x2_s4a.htm,E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co:acquirer:000114036119002275:s002620x2_s4a.htm,https://www.sec.gov/Archives/edgar/data/14272/000114036119002275/s002620x2_s4a.htm,smoke_celgene_prepare/documents/E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co/acquirer/2019-02-01_S-4-A_000114036119002275/s002620x2_s4a.htm,528,12,merger consideration,"{""merger consideration"": 129}","gene stockholders immediately prior to the completion of the merger will be entitled to receive $50.00 in cash, one share of bristol-myers squibb common stock and one contingent value right (each, a “cvr”) for each share of celgene common stock held by them, as described in more detail in the accompanying joint proxy statement/prospectus under the heading “the merger agreement—merger consideration.” based on the closing price of a share of bristol-myers squibb common stock on january 31, 2019, the most recent trading day prior to the date of the accompanying joint proxy statement/prospectus for which this information was available, the cash and stock components of the merger consideration represented approximately $99.37 in value per share of celgene common stock (witho",True,Matched field keywords for consideration_menu; preferred form/document bonus=12
E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co,17,Celgene Corp,Bristol-Myers Squibb Co,2019-01-03,Cash and Stock,Completed,deal_completion_or_break,"Whether and when the transaction completed, became effective, or was terminated/broken.",post_election_label,acquirer,S-4,2019-02-01,0001140361-19-002181,s002620x1_s4.htm,E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co:acquirer:000114036119002181:s002620x1_s4.htm,https://www.sec.gov/Archives/edgar/data/14272/000114036119002181/s002620x1_s4.htm,smoke_celgene_prepare/documents/E000017_20190103_Celgene_Corp__Bristol-Myers_Squibb_Co/acquirer/2019-02-01_S-4_000114036119002181/s002620x1_s4.htm,652,0,completed the merger;completion of the merger;effective time;closing of the merger;termination of the merger agreement,"{""completed the merger"": 1, ""completion of the merger"": 129, ""effective time"": 25, ""closing of the merger"": 2, ""termination of the merger agreement"": 6}","squibb and celgene. if the merger is not completed for any reason, including as a result of celgene stockholders failing to adopt the merger agreement or bristol-myers squibb stockholders failing to approve the stock issuance, the ongoing businesses of bristol-myers squibb and celgene may be materially and adversely affected and, without realizing any of the benefits of having completed the merger, bristol-myers squibb and celgene would be subject to a number of risks, including the following: • bristol-myers squibb and celgene may experience negative reactions from the financial markets, including negative impacts on trading prices of bristol-myers squibb common stock, shares of celgene common stock and both companies’ other securities, and from their respective custom ||| nathan biller, esq. celgene corporation 86 morris avenue summit, new jersey 07901 (908) 673-9000 steven a. cohen david k. lam edward j. lee wachtell, lipton, rosen & katz 51 west 52nd street new york, new york 10019 (212) 403-1000 approximate date of commencement of proposed sale to the public : as soon as practicable after the effective date of this registration statement and completion of the merger of burgundy merger sub, inc. (“ merger sub ”), a wholly-owned subsidiary of bristol-myers squibb company (“ bristol-myers squibb ”), with and into celgene corporation (“ celgene ”), as described in the agreement and plan of merger, dated as of january 2, 2019, among bristol-myers squibb, merger sub and celgene and in the enclosed joint proxy statement/prospectus. if the securi ||| paid or provided by celgene to its named executive officers in connection with the merger. bristol-myers squibb expects to issue up to approximately 701,024,507 shares of its common stock and up to approximately 701,024,507 cvrs to celgene stockholders in the merger. in addition, shares of bristol-myers squibb common stock and cvrs may be issued from time to time following the effective time of the merger to holders of cel",True,Matched field keywords for deal_completion_or_break
